Exposure,Outcome,G_hat
ENSG00000188529,ENSG00000108064,0.03139708237156585
ENSG00000188529,ENSG00000166012,0.03765019548923173
ENSG00000188529,ENSG00000135486,0.08643369826731764
ENSG00000188529,ENSG00000196531,0.054242031960781756
ENSG00000188529,ENSG00000111615,0.025635155849545687
ENSG00000188529,ENSG00000088986,0.057851075876862
ENSG00000188529,ENSG00000120686,0.022315839477912477
ENSG00000188529,ENSG00000134884,0.019691849215640995
ENSG00000188529,ENSG00000198931,-0.05707131627888636
ENSG00000188529,ENSG00000173812,-0.03218424252165911
ENSG00000188529,ENSG00000090013,-0.04481243452679301
ENSG00000188529,ENSG00000130208,-0.13276825552135216
ENSG00000188529,ENSG00000198900,0.14004988503213545
ENSG00000188529,ENSG00000102317,0.037098122867448534
ENSG00000133226,ENSG00000242485,0.02263598351148296
ENSG00000133226,ENSG00000160075,-0.02723112091924239
ENSG00000133226,ENSG00000130770,0.12968904776727516
ENSG00000133226,ENSG00000060688,0.01789297168138414
ENSG00000133226,ENSG00000065978,-0.27750256712523097
ENSG00000133226,ENSG00000116221,0.03455454150616238
ENSG00000133226,ENSG00000122406,-0.08156269191252596
ENSG00000133226,ENSG00000266472,0.04889973457097665
ENSG00000133226,ENSG00000116161,0.0351036051771919
ENSG00000133226,ENSG00000143742,0.1091949370394587
ENSG00000133226,ENSG00000162910,0.03356929377882444
ENSG00000133226,ENSG00000173726,-0.14710902158407388
ENSG00000133226,ENSG00000171863,0.052273414880939305
ENSG00000133226,ENSG00000115875,0.03772559850282474
ENSG00000133226,ENSG00000138095,0.0209139197013465
ENSG00000133226,ENSG00000143977,0.15459927405798443
ENSG00000133226,ENSG00000115364,0.02033755753308009
ENSG00000133226,ENSG00000152082,0.1258343632611091
ENSG00000133226,ENSG00000196504,0.016647415754925166
ENSG00000133226,ENSG00000144381,0.04440342029698412
ENSG00000133226,ENSG00000114942,-0.044676774406973034
ENSG00000133226,ENSG00000079246,0.016993573242526944
ENSG00000133226,ENSG00000144713,-0.018986273419925863
ENSG00000133226,ENSG00000162244,-0.20572427097332152
ENSG00000133226,ENSG00000168268,0.02180345251713066
ENSG00000133226,ENSG00000114391,0.017181058441393192
ENSG00000133226,ENSG00000114686,0.06060100761005806
ENSG00000133226,ENSG00000163714,0.09645479796722055
ENSG00000133226,ENSG00000174953,-0.0427943262440562
ENSG00000133226,ENSG00000114867,0.04005072638013372
ENSG00000133226,ENSG00000163682,0.08333509718230198
ENSG00000133226,ENSG00000174780,0.06253675081061699
ENSG00000133226,ENSG00000163319,-0.1734122599591872
ENSG00000133226,ENSG00000151247,0.11274438705051132
ENSG00000133226,ENSG00000164032,0.11111103663088949
ENSG00000133226,ENSG00000109475,-0.2858596684976581
ENSG00000133226,ENSG00000250361,0.02370782334314297
ENSG00000133226,ENSG00000186468,0.06826531713993576
ENSG00000133226,ENSG00000127184,0.021540694685835957
ENSG00000133226,ENSG00000113013,0.14467407543437538
ENSG00000133226,ENSG00000164587,0.09190092361092755
ENSG00000133226,ENSG00000204574,0.017060672892619935
ENSG00000133226,ENSG00000112514,0.03603591130494934
ENSG00000133226,ENSG00000198755,0.6384800702794893
ENSG00000133226,ENSG00000112651,0.03687935030092063
ENSG00000133226,ENSG00000112667,0.03607244360513243
ENSG00000133226,ENSG00000156508,-0.05601067750690901
ENSG00000133226,ENSG00000132424,0.06047965482604508
ENSG00000133226,ENSG00000155115,-0.03731511464991738
ENSG00000133226,ENSG00000122566,0.02278862783052777
ENSG00000133226,ENSG00000106355,0.1958515564946472
ENSG00000133226,ENSG00000168090,0.10180327792843642
ENSG00000133226,ENSG00000172336,0.04366231351074148
ENSG00000133226,ENSG00000128524,-0.022823459492842365
ENSG00000133226,ENSG00000197448,0.016431283846172054
ENSG00000133226,ENSG00000104763,-0.14146351804725624
ENSG00000133226,ENSG00000008988,-0.045261234771235746
ENSG00000133226,ENSG00000156467,0.020266756883611136
ENSG00000133226,ENSG00000156482,-0.09454577606673838
ENSG00000133226,ENSG00000104408,-0.06197648905872619
ENSG00000133226,ENSG00000120533,0.017756444036436135
ENSG00000133226,ENSG00000147677,0.01851510870275969
ENSG00000133226,ENSG00000147684,-0.19293265182128855
ENSG00000133226,ENSG00000160932,-0.023752875220897265
ENSG00000133226,ENSG00000179091,0.020364860659276698
ENSG00000133226,ENSG00000161016,0.0701307373533697
ENSG00000133226,ENSG00000137154,0.10117163988808064
ENSG00000133226,ENSG00000136938,-0.0646915157366974
ENSG00000133226,ENSG00000136930,0.06503192101603203
ENSG00000133226,ENSG00000138326,0.07970026921649148
ENSG00000133226,ENSG00000171314,0.1908437105081384
ENSG00000133226,ENSG00000107581,0.0737955879291048
ENSG00000133226,ENSG00000177600,-0.1114688886557251
ENSG00000133226,ENSG00000149136,0.08776312830651932
ENSG00000133226,ENSG00000254772,-0.20346786231327146
ENSG00000133226,ENSG00000175550,-0.043989748463509365
ENSG00000133226,ENSG00000149273,0.12944734911537953
ENSG00000133226,ENSG00000118181,0.19881021929065387
ENSG00000133226,ENSG00000061794,0.0195200730931986
ENSG00000133226,ENSG00000123416,-0.10150295478126904
ENSG00000133226,ENSG00000139644,-0.02415492367412252
ENSG00000133226,ENSG00000170515,0.04596717479805548
ENSG00000133226,ENSG00000111615,0.06713932917083472
ENSG00000133226,ENSG00000111142,-0.07457308900160743
ENSG00000133226,ENSG00000089157,-0.03392209745606911
ENSG00000133226,ENSG00000182196,0.10527168228278816
ENSG00000133226,ENSG00000100814,-0.030624859082387185
ENSG00000133226,ENSG00000100804,0.018937502005371244
ENSG00000133226,ENSG00000100442,0.13201348319725337
ENSG00000133226,ENSG00000213741,-0.01586397532456935
ENSG00000133226,ENSG00000087302,-0.032777332804145874
ENSG00000133226,ENSG00000140307,-0.06935928631893341
ENSG00000133226,ENSG00000137818,-0.05225890992578937
ENSG00000133226,ENSG00000067225,0.034140619736189357
